sbd,don_vi,truong,mon,diem,giai
02.01.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,20.500,Ba
02.01.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,17.500,K.Khích
02.01.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,14.500,K.Khích
02.01.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,15.500,K.Khích
02.01.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,17.000,K.Khích
02.01.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,15.000,K.Khích
02.01.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,20.500,Ba
02.01.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,14.000,K.Khích
02.01.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,16.500,K.Khích
02.01.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Toán,24.000,Nhì
02.01.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.500,K.Khích
02.01.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.500,K.Khích
02.01.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Toán,14.000,K.Khích
02.01.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,16.500,K.Khích
02.01.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,17.500,K.Khích
02.01.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,14.000,K.Khích
02.01.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,25.500,Nhì
02.01.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Toán,25.000,Nhì
02.02.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,25.000,Nhì
02.02.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,24.250,Nhì
02.02.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,21.500,Nhì
02.02.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,21.500,Nhì
02.02.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,14.250,K.Khích
02.02.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,16.500,Ba
02.02.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,18.500,Ba
02.02.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Vật lí,13.000,K.Khích
02.02.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Vật lí,12.750,K.Khích
02.02.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.500,K.Khích
02.02.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.250,K.Khích
02.02.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,11.500,K.Khích
02.02.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,12.250,K.Khích
02.02.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Vật lí,13.750,K.Khích
02.02.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,12.500,K.Khích
02.02.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,18.750,Nhì
02.02.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,16.250,Ba
02.02.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Vật lí,19.750,Nhì
02.03.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,14.875,K.Khích
02.03.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,20.750,Ba
02.03.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,31.000,Nhất
02.03.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,21.250,Ba
02.03.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,16.125,K.Khích
02.03.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,25.125,Nhì
02.03.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,26.250,Nhì
02.03.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,21.000,Ba
02.03.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,24.750,Nhì
02.03.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Hóa học,25.250,Nhì
02.03.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Hóa học,14.375,K.Khích
02.03.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,19.500,Ba
02.03.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,14.625,K.Khích
02.03.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,16.875,K.Khích
02.03.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,16.375,K.Khích
02.03.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Hóa học,24.750,Nhì
02.04.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,20.250,K.Khích
02.04.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,24.250,Nhì
02.04.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,20.000,K.Khích
02.04.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,21.750,Ba
02.04.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,22.250,Ba
02.04.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,20.500,Ba
02.04.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,20.500,Ba
02.04.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,20.000,K.Khích
02.04.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Sinh học,18.250,K.Khích
02.04.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Sinh học,20.500,Ba
02.04.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Sinh học,23.250,Nhì
02.04.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Sinh học,25.500,Nhì
02.04.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Sinh học,20.500,Ba
02.04.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Sinh học,19.500,K.Khích
02.04.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Sinh học,20.750,Ba
02.04.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Sinh học,22.000,Ba
02.04.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Sinh học,18.750,K.Khích
02.05.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,20.590,Nhì
02.05.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,24.447,Nhì
02.05.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,25.320,Nhì
02.05.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,27.404,Nhất
02.05.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,18.822,Ba
02.05.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,18.250,Ba
02.05.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,19.550,Ba
02.05.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tin học,17.310,Ba
02.05.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Tin học,17.970,Ba
02.05.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Thái Phiên,Tin học,12.860,K.Khích
02.05.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tin học,23.890,Nhì
02.05.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tin học,13.630,K.Khích
02.05.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tin học,16.526,K.Khích
02.05.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tin học,19.357,Ba
02.05.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tin học,25.317,Nhì
02.05.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tin học,24.944,Nhì
02.05.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tin học,16.190,K.Khích
02.05.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tin học,17.280,Ba
02.06.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,14.000,Nhì
02.06.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,13.500,Nhì
02.06.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,12.500,K.Khích
02.06.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,12.750,Ba
02.06.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,13.500,Nhì
02.06.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,13.000,Ba
02.06.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Ngữ văn,13.000,Ba
02.06.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Ngữ văn,12.500,K.Khích
02.06.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Ngữ văn,12.750,Ba
02.06.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Ngữ văn,13.750,Nhì
02.06.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Ngữ văn,12.500,K.Khích
02.06.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Ngữ văn,13.500,Nhì
02.06.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Ngữ văn,13.500,Nhì
02.06.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Ngữ văn,12.500,K.Khích
02.06.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Ngữ văn,12.500,K.Khích
02.07.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Lịch sử,16.250,Nhì
02.07.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Lịch sử,14.750,K.Khích
02.07.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Lịch sử,15.750,Ba
02.07.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Lịch sử,16.750,Nhì
02.07.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Thái Phiên,Lịch sử,14.750,K.Khích
02.07.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Lịch sử,14.250,K.Khích
02.07.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Lịch sử,15.250,Ba
02.07.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Lịch sử,14.750,K.Khích
02.07.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Lịch sử,14.500,K.Khích
02.08.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,14.250,Ba
02.08.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,15.000,Ba
02.08.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,15.500,Nhì
02.08.08,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,15.250,Nhì
02.08.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,15.500,Nhì
02.08.12,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,13.000,K.Khích
02.08.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Địa lí,14.500,Ba
02.08.13,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Địa lí,13.000,K.Khích
02.08.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Địa lí,14.000,K.Khích
02.08.19,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Địa lí,14.500,Ba
02.08.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Địa lí,13.500,K.Khích
02.08.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Địa lí,13.750,K.Khích
02.08.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Địa lí,14.500,Ba
02.09.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,13.700,Ba
02.09.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,14.300,Ba
02.09.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,14.400,Ba
02.09.06,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,13.100,K.Khích
02.09.11,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,15.800,Nhất
02.09.14,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,15.100,Nhì
02.09.16,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Anh,13.700,Ba
02.09.10,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT Phan Châu Trinh,Tiếng Anh,13.600,K.Khích
02.09.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tiếng Anh,13.000,K.Khích
02.09.18,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tiếng Anh,14.800,Nhì
02.09.15,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Thánh Tông,Tiếng Anh,15.000,Nhì
02.09.17,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tiếng Anh,13.300,K.Khích
02.09.20,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Nguyễn Bỉnh Khiêm,Tiếng Anh,12.900,K.Khích
02.11.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Pháp,10.975,K.Khích
02.11.04,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Pháp,13.925,Nhì
02.11.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Pháp,10.750,K.Khích
02.13.01,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,15.600,Nhì
02.13.02,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,11.550,K.Khích
02.13.03,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,12.550,Ba
02.13.05,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,11.250,K.Khích
02.13.07,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,10.750,K.Khích
02.13.09,Đà Nẵng,Tỉnh Đà Nẵng - Trường THPT chuyên Lê Quý Đôn,Tiếng Nhật,15.850,Nhì
01.01.03,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,17.500,K.Khích
01.01.07,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,15.500,K.Khích
01.01.08,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,17.500,K.Khích
01.01.09,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,18.500,Ba
01.01.12,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,15.500,K.Khích
01.01.14,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Toán,14.500,K.Khích
01.01.18,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Toán,16.000,K.Khích
01.01.19,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Toán,15.500,K.Khích
01.01.22,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Toán,20.500,Ba
01.02.03,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Vật lí,14.250,K.Khích
01.02.10,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Vật lí,10.750,K.Khích
01.02.16,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Vật lí,17.000,Ba
01.02.22,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Vật lí,15.000,Ba
01.02.15,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Vật lí,15.500,Ba
01.03.03,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Hóa học,16.625,K.Khích
01.03.04,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Hóa học,21.875,Ba
01.03.05,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Hóa học,29.375,Nhất
01.03.08,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Hóa học,27.250,Nhì
01.03.10,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Hóa học,17.500,K.Khích
01.04.02,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Sinh học,23.500,Nhì
01.04.06,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Sinh học,19.500,K.Khích
01.04.07,Cần Thơ,Tỉnh Cần Thơ - THPT Thốt Nốt,Sinh học,19.500,K.Khích
01.04.14,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Sinh học,20.250,K.Khích
01.04.17,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Sinh học,19.750,K.Khích
01.04.03,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Sinh học,23.500,Nhì
01.04.08,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Sinh học,23.000,Nhì
01.04.16,Cần Thơ,Tỉnh Cần Thơ - THPT Nguyễn Khuyến,Sinh học,20.250,K.Khích
01.05.04,Cần Thơ,Tỉnh Cần Thơ - THPT FPT Cần Thơ,Tin học,18.450,Ba
01.05.08,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Tin học,12.901,K.Khích
01.05.11,Cần Thơ,Tỉnh Cần Thơ - THPT FPT Cần Thơ,Tin học,22.460,Nhì
01.05.12,Cần Thơ,Tỉnh Cần Thơ - THPT FPT Cần Thơ,Tin học,13.460,K.Khích
01.05.15,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Tin học,13.770,K.Khích
01.05.07,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Tin học,13.290,K.Khích
01.05.16,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Tin học,19.690,Ba
01.05.01,Cần Thơ,Tỉnh Cần Thơ - THPT Đại Ngãi,Tin học,19.227,Ba
01.05.03,Cần Thơ,Tỉnh Cần Thơ - THPT Đại Ngãi,Tin học,16.440,K.Khích
01.05.06,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Tin học,16.420,K.Khích
01.06.05,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Ngữ văn,14.250,Nhì
01.06.16,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Ngữ văn,12.500,K.Khích
01.06.10,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Ngữ văn,12.500,K.Khích
01.06.22,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Ngữ văn,12.250,K.Khích
01.06.26,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Ngữ văn,13.000,Ba
01.06.08,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Ngữ văn,13.000,Ba
01.06.09,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Ngữ văn,13.000,Ba
01.06.25,Cần Thơ,Tỉnh Cần Thơ - THPT Đại Ngãi,Ngữ văn,12.250,K.Khích
01.06.27,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Ngữ văn,12.500,K.Khích
01.07.02,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,15.000,K.Khích
01.07.04,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,16.000,Ba
01.07.10,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,15.000,K.Khích
01.07.11,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,15.000,K.Khích
01.07.14,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,14.500,K.Khích
01.07.18,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,15.250,Ba
01.07.30,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Lịch sử,14.750,K.Khích
01.07.20,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Vị Thanh,Lịch sử,14.250,K.Khích
01.07.01,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Lịch sử,15.500,Ba
01.07.09,Cần Thơ,Tỉnh Cần Thơ - THPT Hoàng Diệu,Lịch sử,16.750,Nhì
01.07.16,Cần Thơ,Tỉnh Cần Thơ - THCS và THPT Long Hưng,Lịch sử,14.250,K.Khích
01.07.21,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Nguyễn Thị Minh Khai,Lịch sử,17.250,Nhì
01.07.27,Cần Thơ,Tỉnh Cần Thơ - THPT Lịch Hội Thượng,Lịch sử,15.750,Ba
01.07.22,Cần Thơ,Tỉnh Cần Thơ - THPT Mai Thanh Thế,Lịch sử,15.500,Ba
01.07.23,Cần Thơ,Tỉnh Cần Thơ - THPT Kế Sách,Lịch sử,16.000,Ba
01.07.24,Cần Thơ,Tỉnh Cần Thơ - THPT Hoàng Diệu,Lịch sử,14.500,K.Khích
01.07.25,Cần Thơ,Tỉnh Cần Thơ - THCS và THPT Long Hưng,Lịch sử,16.500,Nhì
01.07.28,Cần Thơ,Tỉnh Cần Thơ - THPT Trần Văn Bảy,Lịch sử,17.250,Nhì
01.08.12,Cần Thơ,Tỉnh Cần Thơ - THPT chuyên Lý Tự Trọng,Địa lí,13.500,K.Khích
01.08.13,Cần Thơ,Tỉnh Cần Thơ - THPT Châu Văn Liêm,Địa lí,14.250,Ba
